,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
5780,Chelsea,Aston Villa,-0.5555555560000001,-0.5555555560000001,0.8888888890000001,0.444444444,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.444444444,-16,H
5781,Crystal Palace,West Ham,0.444444444,0.666666667,1.6666666669999999,1.5555555559999998,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.111111111,-2,A
5782,Everton,Man United,0.444444444,0.444444444,1.4444444440000002,1.7777777780000001,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,-0.111111111,7,A
5783,Man City,Bournemouth,1.333333333,-0.222222222,2.0,0.8888888890000001,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.111111111,-16,H
5784,Southampton,Leicester,0.333333333,0.222222222,1.333333333,1.6666666669999999,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.222222222,-7,D
5785,Tottenham,Liverpool,0.444444444,-0.222222222,1.4444444440000002,1.333333333,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0.222222222,-1,D
5786,Watford,Arsenal,-0.111111111,0.666666667,1.111111111,1.7777777780000001,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.222222222,15,A
5787,West Brom,Sunderland,-0.5555555560000001,-1.111111111,0.8888888890000001,0.333333333,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.222222222,-3,H
5788,Newcastle,Norwich,-1.222222222,-0.222222222,0.333333333,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-0.111111111,-3,H
5789,Swansea,Stoke,0.0,-0.222222222,1.111111111,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.5555555560000001,-1,A
5790,Arsenal,Everton,0.9,0.1,1.9,1.3,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.5,-8,H
5791,Aston Villa,Swansea,-0.7,-0.1,0.4,1.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.1,9,A
5792,Leicester,Crystal Palace,0.2,0.2,1.6,1.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,-0.2,4,H
5793,Norwich,West Brom,-0.6,-0.4,0.9,1.1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.2,5,A
5794,Stoke,Watford,-0.1,-0.4,1.2,1.0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.8,-9,A
5795,West Ham,Chelsea,0.8,-0.3,1.7,1.1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.1,11,H
5796,Bournemouth,Tottenham,-0.6,0.4,0.8,1.4,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,-0.4,13,A
5797,Liverpool,Southampton,-0.2,0.3,1.3,1.3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.2,-1,D
5798,Man United,Man City,0.7,1.6,1.9,2.1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.0,2,D
5799,Sunderland,Newcastle,-1.1,-0.7,0.3,0.6,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.3,1,H
5800,Chelsea,Liverpool,-0.363636364,-0.181818182,1.0,1.2727272729999999,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0.0,-5,A
