,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5998,West Brom,Norwich,0,1,A,30,31,36,54,1.3,0.8,W,D,W,L,L,L,13,18,30,-5,-0.2,-0.766666667,WDW,LLL,7,0,0.233333333
5999,Man City,Man United,0,1,A,52,37,31,27,1.7,1.566666667,D,W,L,L,W,W,2,4,30,-2,0.7,0.333333333,DWL,LWW,4,6,-0.066666667
6000,Newcastle,Sunderland,1,1,D,29,36,55,55,0.806451613,0.838709677,D,L,L,D,D,D,15,16,31,-1,-0.838709677,-0.612903226,DLL,DDD,1,3,-0.064516129
6001,Southampton,Liverpool,3,2,H,38,46,30,41,1.419354839,1.451612903,W,D,L,D,L,W,7,6,31,1,0.258064516,0.161290323,WDL,DLW,4,4,0
6002,Tottenham,Bournemouth,3,0,H,53,38,24,47,1.870967742,1.225806452,W,D,L,W,W,W,5,18,31,-13,0.935483871,-0.290322581,WDL,WWW,4,9,-0.161290323
6003,Arsenal,Watford,4,0,H,48,30,30,32,1.774193548,1.193548387,W,D,L,L,L,L,3,18,31,-15,0.580645161,-0.064516129,WDL,LLL,4,0,0.129032258
6004,Aston Villa,Chelsea,0,4,A,22,45,57,41,0.516129032,1.322580645,L,L,L,D,D,W,17,1,31,16,-1.129032258,0.129032258,LLL,DDW,0,5,-0.161290323
6005,Bournemouth,Man City,0,4,A,38,52,47,32,1.225806452,1.64516129,W,W,W,L,D,W,18,2,31,16,-0.290322581,0.64516129,WWW,LDW,9,4,0.161290323
6006,Liverpool,Tottenham,1,1,D,46,53,41,24,1.451612903,1.870967742,D,L,W,W,D,L,6,5,31,1,0.161290323,0.935483871,DLW,WDL,4,4,0
6007,Norwich,Newcastle,3,2,H,31,29,54,55,0.806451613,0.806451613,D,L,L,D,L,L,18,15,31,3,-0.741935484,-0.838709677,DLL,DLL,1,1,0
6008,Stoke,Swansea,2,2,D,32,30,36,40,1.387096774,1.064516129,L,D,W,L,W,W,9,8,31,1,-0.129032258,-0.322580645,LDW,LWW,4,6,-0.064516129
6009,Sunderland,West Brom,0,0,D,36,30,55,37,0.838709677,1.258064516,D,D,D,L,W,D,16,13,31,3,-0.612903226,-0.225806452,DDD,LWD,3,4,-0.032258065
